AbsHour,Day,Positions,AssignedNurses,Week,HourOfDay,HourOfWeek
187,8,triage nurse,1,2,19,19
188,8,CNL,1,2,20,20
188,8,EDOU,3,2,20,20
188,8,FEP,1,2,20,20
188,8,blue,0,2,20,20
188,8,first nurse,1,2,20,20
188,8,green,4,2,20,20
188,8,hallway,5,2,20,20
188,8,iTrack,0,2,20,20
188,8,orange,5,2,20,20
188,8,purple,3,2,20,20
188,8,red,4,2,20,20
188,8,resource nurse,1,2,20,20
188,8,triage nurse,1,2,20,20
189,8,CNL,1,2,21,21
189,8,EDOU,3,2,21,21
189,8,FEP,1,2,21,21
189,8,blue,0,2,21,21
189,8,first nurse,1,2,21,21
189,8,green,4,2,21,21
189,8,hallway,5,2,21,21
189,8,iTrack,0,2,21,21
189,8,orange,5,2,21,21
189,8,purple,3,2,21,21
189,8,red,4,2,21,21
189,8,resource nurse,1,2,21,21
189,8,triage nurse,1,2,21,21
190,8,CNL,1,2,22,22
190,8,EDOU,3,2,22,22
190,8,FEP,1,2,22,22
190,8,blue,0,2,22,22
190,8,first nurse,1,2,22,22
190,8,green,4,2,22,22
190,8,hallway,5,2,22,22
190,8,iTrack,0,2,22,22
190,8,orange,5,2,22,22
190,8,purple,3,2,22,22
190,8,red,4,2,22,22
190,8,resource nurse,1,2,22,22
190,8,triage nurse,1,2,22,22
191,8,CNL,1,2,23,23
191,8,EDOU,3,2,23,23
191,8,FEP,1,2,23,23
191,8,blue,0,2,23,23
191,8,first nurse,1,2,23,23
191,8,green,4,2,23,23
191,8,hallway,5,2,23,23
191,8,iTrack,0,2,23,23
191,8,orange,5,2,23,23
191,8,purple,3,2,23,23
191,8,red,4,2,23,23
191,8,resource nurse,1,2,23,23
191,8,triage nurse,1,2,23,23
192,8,CNL,1,2,24,24
192,8,EDOU,3,2,24,24
192,8,FEP,1,2,24,24
192,8,blue,0,2,24,24
192,8,first nurse,1,2,24,24
192,8,green,4,2,24,24
192,8,hallway,5,2,24,24
192,8,iTrack,0,2,24,24
192,8,orange,5,2,24,24
192,8,purple,3,2,24,24
192,8,red,4,2,24,24
192,8,resource nurse,1,2,24,24
192,8,triage nurse,1,2,24,24
193,8,CNL,1,2,1,25
193,8,EDOU,3,2,1,25
193,8,FEP,1,2,1,25
193,8,blue,0,2,1,25
193,8,first nurse,1,2,1,25
193,8,green,4,2,1,25
193,8,hallway,5,2,1,25
193,8,iTrack,0,2,1,25
193,8,orange,5,2,1,25
193,8,purple,3,2,1,25
193,8,red,4,2,1,25
193,8,resource nurse,1,2,1,25
193,8,triage nurse,1,2,1,25
194,9,CNL,1,2,2,26
194,9,EDOU,2,2,2,26
194,9,FEP,1,2,2,26
194,9,blue,0,2,2,26
194,9,first nurse,1,2,2,26
194,9,green,5,2,2,26
194,9,hallway,4,2,2,26
194,9,iTrack,0,2,2,26
194,9,orange,4,2,2,26
194,9,purple,3,2,2,26
194,9,red,4,2,2,26
194,9,resource nurse,1,2,2,26
194,9,triage nurse,1,2,2,26
195,9,CNL,1,2,3,27
195,9,EDOU,2,2,3,27
195,9,FEP,1,2,3,27
195,9,blue,0,2,3,27
195,9,first nurse,1,2,3,27
195,9,green,5,2,3,27
195,9,hallway,4,2,3,27
195,9,iTrack,0,2,3,27
195,9,orange,4,2,3,27
195,9,purple,3,2,3,27
195,9,red,4,2,3,27
195,9,resource nurse,1,2,3,27
195,9,triage nurse,1,2,3,27
196,9,CNL,1,2,4,28
196,9,EDOU,2,2,4,28
196,9,FEP,1,2,4,28
196,9,blue,0,2,4,28
196,9,first nurse,1,2,4,28
196,9,green,5,2,4,28
196,9,hallway,4,2,4,28
196,9,iTrack,0,2,4,28
196,9,orange,4,2,4,28
196,9,purple,3,2,4,28
196,9,red,4,2,4,28
196,9,resource nurse,1,2,4,28
196,9,triage nurse,1,2,4,28
197,9,CNL,1,2,5,29
197,9,EDOU,2,2,5,29
197,9,FEP,1,2,5,29
197,9,blue,0,2,5,29
197,9,first nurse,1,2,5,29
197,9,green,5,2,5,29
197,9,hallway,4,2,5,29
197,9,iTrack,0,2,5,29
197,9,orange,4,2,5,29
197,9,purple,3,2,5,29
197,9,red,4,2,5,29
197,9,resource nurse,1,2,5,29
197,9,triage nurse,1,2,5,29
198,9,CNL,1,2,6,30
198,9,EDOU,2,2,6,30
198,9,FEP,1,2,6,30
198,9,blue,0,2,6,30
198,9,first nurse,1,2,6,30
198,9,green,5,2,6,30
198,9,hallway,4,2,6,30
198,9,iTrack,0,2,6,30
198,9,orange,4,2,6,30
198,9,purple,3,2,6,30
198,9,red,4,2,6,30
198,9,resource nurse,1,2,6,30
198,9,triage nurse,1,2,6,30
199,9,CNL,1,2,7,31
199,9,EDOU,2,2,7,31
199,9,FEP,1,2,7,31
199,9,blue,0,2,7,31
199,9,first nurse,1,2,7,31
199,9,green,5,2,7,31
199,9,hallway,4,2,7,31
199,9,iTrack,0,2,7,31
199,9,orange,4,2,7,31
199,9,purple,3,2,7,31
199,9,red,4,2,7,31
199,9,resource nurse,1,2,7,31
199,9,triage nurse,1,2,7,31
200,9,CNL,1,2,8,32
200,9,EDOU,2,2,8,32
200,9,FEP,1,2,8,32
200,9,blue,0,2,8,32
200,9,first nurse,1,2,8,32
200,9,green,5,2,8,32
200,9,hallway,4,2,8,32
200,9,iTrack,0,2,8,32
200,9,orange,4,2,8,32
200,9,purple,3,2,8,32
200,9,red,4,2,8,32
200,9,resource nurse,1,2,8,32
200,9,triage nurse,1,2,8,32
201,9,CNL,1,2,9,33
201,9,EDOU,2,2,9,33
201,9,FEP,1,2,9,33
201,9,blue,0,2,9,33
201,9,first nurse,1,2,9,33
201,9,green,5,2,9,33
201,9,hallway,4,2,9,33
201,9,iTrack,0,2,9,33
201,9,orange,4,2,9,33
201,9,purple,3,2,9,33
201,9,red,4,2,9,33
201,9,resource nurse,1,2,9,33
201,9,triage nurse,1,2,9,33
202,9,CNL,1,2,10,34
202,9,EDOU,2,2,10,34
202,9,FEP,1,2,10,34
202,9,blue,0,2,10,34
202,9,first nurse,1,2,10,34
202,9,green,5,2,10,34
202,9,hallway,4,2,10,34
202,9,iTrack,0,2,10,34
202,9,orange,4,2,10,34
202,9,purple,3,2,10,34
202,9,red,4,2,10,34
202,9,resource nurse,1,2,10,34
202,9,triage nurse,1,2,10,34
203,9,CNL,1,2,11,35
203,9,EDOU,2,2,11,35
203,9,FEP,1,2,11,35
203,9,blue,0,2,11,35
203,9,first nurse,1,2,11,35
203,9,green,5,2,11,35
203,9,hallway,4,2,11,35
203,9,iTrack,0,2,11,35
203,9,orange,4,2,11,35
203,9,purple,3,2,11,35
203,9,red,4,2,11,35
203,9,resource nurse,1,2,11,35
203,9,triage nurse,1,2,11,35
204,9,CNL,1,2,12,36
204,9,EDOU,2,2,12,36
204,9,FEP,1,2,12,36
204,9,blue,0,2,12,36
204,9,first nurse,1,2,12,36
204,9,green,5,2,12,36
204,9,hallway,4,2,12,36
204,9,iTrack,0,2,12,36
204,9,orange,4,2,12,36
204,9,purple,3,2,12,36
204,9,red,4,2,12,36
204,9,resource nurse,1,2,12,36
204,9,triage nurse,1,2,12,36
205,9,CNL,1,2,13,37
205,9,EDOU,2,2,13,37
205,9,FEP,1,2,13,37
205,9,blue,0,2,13,37
205,9,first nurse,1,2,13,37
205,9,green,5,2,13,37
205,9,hallway,4,2,13,37
205,9,iTrack,0,2,13,37
205,9,orange,4,2,13,37
205,9,purple,3,2,13,37
205,9,red,4,2,13,37
205,9,resource nurse,1,2,13,37
205,9,triage nurse,1,2,13,37
206,9,CNL,1,2,14,38
206,9,EDOU,2,2,14,38
206,9,FEP,1,2,14,38
206,9,blue,4,2,14,38
206,9,first nurse,1,2,14,38
206,9,green,5,2,14,38
206,9,hallway,5,2,14,38
206,9,iTrack,0,2,14,38
206,9,orange,5,2,14,38
206,9,purple,3,2,14,38
206,9,red,0,2,14,38
206,9,resource nurse,1,2,14,38
206,9,triage nurse,1,2,14,38
207,9,CNL,1,2,15,39
207,9,EDOU,2,2,15,39
207,9,FEP,1,2,15,39
207,9,blue,4,2,15,39
207,9,first nurse,1,2,15,39
207,9,green,5,2,15,39
207,9,hallway,5,2,15,39
207,9,iTrack,0,2,15,39
207,9,orange,5,2,15,39
207,9,purple,3,2,15,39
207,9,red,0,2,15,39
207,9,resource nurse,1,2,15,39
207,9,triage nurse,1,2,15,39
208,9,CNL,1,2,16,40
208,9,EDOU,2,2,16,40
208,9,FEP,1,2,16,40
208,9,blue,4,2,16,40
208,9,first nurse,1,2,16,40
208,9,green,5,2,16,40
208,9,hallway,5,2,16,40
208,9,iTrack,0,2,16,40
208,9,orange,5,2,16,40
208,9,purple,3,2,16,40
208,9,red,0,2,16,40
208,9,resource nurse,1,2,16,40
208,9,triage nurse,1,2,16,40
209,9,CNL,1,2,17,41
209,9,EDOU,2,2,17,41
209,9,FEP,1,2,17,41
209,9,blue,4,2,17,41
209,9,first nurse,1,2,17,41
209,9,green,5,2,17,41
209,9,hallway,5,2,17,41
209,9,iTrack,0,2,17,41
209,9,orange,5,2,17,41
209,9,purple,3,2,17,41
209,9,red,0,2,17,41
209,9,resource nurse,1,2,17,41
209,9,triage nurse,1,2,17,41
210,9,CNL,1,2,18,42
210,9,EDOU,2,2,18,42
210,9,FEP,1,2,18,42
210,9,blue,4,2,18,42
210,9,first nurse,1,2,18,42
210,9,green,5,2,18,42
210,9,hallway,5,2,18,42
210,9,iTrack,0,2,18,42
210,9,orange,5,2,18,42
210,9,purple,3,2,18,42
210,9,red,0,2,18,42
210,9,resource nurse,1,2,18,42
210,9,triage nurse,1,2,18,42
211,9,CNL,1,2,19,43
211,9,EDOU,2,2,19,43
211,9,FEP,1,2,19,43
211,9,blue,4,2,19,43
211,9,first nurse,1,2,19,43
211,9,green,5,2,19,43
211,9,hallway,5,2,19,43
211,9,iTrack,0,2,19,43
211,9,orange,5,2,19,43
211,9,purple,3,2,19,43
211,9,red,0,2,19,43
211,9,resource nurse,1,2,19,43
211,9,triage nurse,1,2,19,43
212,9,CNL,1,2,20,44
212,9,EDOU,2,2,20,44
212,9,FEP,1,2,20,44
212,9,blue,4,2,20,44
212,9,first nurse,1,2,20,44
212,9,green,5,2,20,44
212,9,hallway,5,2,20,44
212,9,iTrack,0,2,20,44
212,9,orange,5,2,20,44
212,9,purple,3,2,20,44
212,9,red,0,2,20,44
212,9,resource nurse,1,2,20,44
212,9,triage nurse,1,2,20,44
213,9,CNL,1,2,21,45
213,9,EDOU,2,2,21,45
213,9,FEP,1,2,21,45
213,9,blue,4,2,21,45
213,9,first nurse,1,2,21,45
213,9,green,5,2,21,45
213,9,hallway,5,2,21,45
213,9,iTrack,0,2,21,45
213,9,orange,5,2,21,45
213,9,purple,3,2,21,45
213,9,red,0,2,21,45
213,9,resource nurse,1,2,21,45
213,9,triage nurse,1,2,21,45
214,9,CNL,1,2,22,46
214,9,EDOU,2,2,22,46
214,9,FEP,1,2,22,46
214,9,blue,4,2,22,46
214,9,first nurse,1,2,22,46
214,9,green,5,2,22,46
214,9,hallway,5,2,22,46
214,9,iTrack,0,2,22,46
214,9,orange,5,2,22,46
214,9,purple,3,2,22,46
214,9,red,0,2,22,46
214,9,resource nurse,1,2,22,46
214,9,triage nurse,1,2,22,46
215,9,CNL,1,2,23,47
215,9,EDOU,2,2,23,47
215,9,FEP,1,2,23,47
215,9,blue,4,2,23,47
215,9,first nurse,1,2,23,47
215,9,green,5,2,23,47
215,9,hallway,5,2,23,47
215,9,iTrack,0,2,23,47
215,9,orange,5,2,23,47
215,9,purple,3,2,23,47
215,9,red,0,2,23,47
215,9,resource nurse,1,2,23,47
215,9,triage nurse,1,2,23,47
216,9,CNL,1,2,24,48
216,9,EDOU,2,2,24,48
216,9,FEP,1,2,24,48
216,9,blue,4,2,24,48
216,9,first nurse,1,2,24,48
216,9,green,5,2,24,48
216,9,hallway,5,2,24,48
216,9,iTrack,0,2,24,48
216,9,orange,5,2,24,48
216,9,purple,3,2,24,48
216,9,red,0,2,24,48
216,9,resource nurse,1,2,24,48
216,9,triage nurse,1,2,24,48
217,9,CNL,1,2,1,49
217,9,EDOU,2,2,1,49
217,9,FEP,1,2,1,49
217,9,blue,4,2,1,49
217,9,first nurse,1,2,1,49
217,9,green,5,2,1,49
217,9,hallway,5,2,1,49
217,9,iTrack,0,2,1,49
217,9,orange,5,2,1,49
217,9,purple,3,2,1,49
217,9,red,0,2,1,49
217,9,resource nurse,1,2,1,49
217,9,triage nurse,1,2,1,49
218,10,CNL,1,2,2,50
218,10,EDOU,2,2,2,50
218,10,FEP,1,2,2,50
218,10,blue,5,2,2,50
218,10,first nurse,1,2,2,50
218,10,green,5,2,2,50
218,10,hallway,0,2,2,50
218,10,iTrack,0,2,2,50
218,10,orange,5,2,2,50
218,10,purple,4,2,2,50
218,10,red,2,2,2,50
218,10,resource nurse,1,2,2,50
218,10,triage nurse,1,2,2,50
219,10,CNL,1,2,3,51
219,10,EDOU,2,2,3,51
219,10,FEP,1,2,3,51
219,10,blue,5,2,3,51
219,10,first nurse,1,2,3,51
219,10,green,5,2,3,51
219,10,hallway,0,2,3,51
219,10,iTrack,0,2,3,51
219,10,orange,5,2,3,51
219,10,purple,4,2,3,51
219,10,red,2,2,3,51
219,10,resource nurse,1,2,3,51
219,10,triage nurse,1,2,3,51
220,10,CNL,1,2,4,52
220,10,EDOU,2,2,4,52
220,10,FEP,1,2,4,52
220,10,blue,5,2,4,52
220,10,first nurse,1,2,4,52
220,10,green,5,2,4,52
220,10,hallway,0,2,4,52
220,10,iTrack,0,2,4,52
220,10,orange,5,2,4,52
220,10,purple,4,2,4,52
220,10,red,2,2,4,52
220,10,resource nurse,1,2,4,52
220,10,triage nurse,1,2,4,52
221,10,CNL,1,2,5,53
221,10,EDOU,2,2,5,53
221,10,FEP,1,2,5,53
221,10,blue,5,2,5,53
221,10,first nurse,1,2,5,53
221,10,green,5,2,5,53
221,10,hallway,0,2,5,53
221,10,iTrack,0,2,5,53
221,10,orange,5,2,5,53
221,10,purple,4,2,5,53
221,10,red,2,2,5,53
221,10,resource nurse,1,2,5,53
221,10,triage nurse,1,2,5,53
222,10,CNL,1,2,6,54
222,10,EDOU,2,2,6,54
222,10,FEP,1,2,6,54
222,10,blue,5,2,6,54
222,10,first nurse,1,2,6,54
222,10,green,5,2,6,54
222,10,hallway,0,2,6,54
222,10,iTrack,0,2,6,54
222,10,orange,5,2,6,54
222,10,purple,4,2,6,54
222,10,red,2,2,6,54
222,10,resource nurse,1,2,6,54
222,10,triage nurse,1,2,6,54
223,10,CNL,1,2,7,55
223,10,EDOU,2,2,7,55
223,10,FEP,1,2,7,55
223,10,blue,5,2,7,55
223,10,first nurse,1,2,7,55
223,10,green,5,2,7,55
223,10,hallway,0,2,7,55
223,10,iTrack,0,2,7,55
223,10,orange,5,2,7,55
223,10,purple,4,2,7,55
223,10,red,2,2,7,55
223,10,resource nurse,1,2,7,55
223,10,triage nurse,1,2,7,55
224,10,CNL,1,2,8,56
224,10,EDOU,2,2,8,56
224,10,FEP,1,2,8,56
224,10,blue,5,2,8,56
224,10,first nurse,1,2,8,56
224,10,green,5,2,8,56
224,10,hallway,0,2,8,56
224,10,iTrack,0,2,8,56
224,10,orange,5,2,8,56
224,10,purple,4,2,8,56
224,10,red,2,2,8,56
224,10,resource nurse,1,2,8,56
224,10,triage nurse,1,2,8,56
225,10,CNL,1,2,9,57
225,10,EDOU,2,2,9,57
225,10,FEP,1,2,9,57
225,10,blue,5,2,9,57
225,10,first nurse,1,2,9,57
225,10,green,5,2,9,57
225,10,hallway,0,2,9,57
225,10,iTrack,0,2,9,57
225,10,orange,5,2,9,57
225,10,purple,4,2,9,57
225,10,red,2,2,9,57
225,10,resource nurse,1,2,9,57
225,10,triage nurse,1,2,9,57
226,10,CNL,1,2,10,58
226,10,EDOU,2,2,10,58
226,10,FEP,1,2,10,58
226,10,blue,5,2,10,58
226,10,first nurse,1,2,10,58
226,10,green,5,2,10,58
226,10,hallway,0,2,10,58
226,10,iTrack,0,2,10,58
226,10,orange,5,2,10,58
226,10,purple,4,2,10,58
226,10,red,2,2,10,58
226,10,resource nurse,1,2,10,58
226,10,triage nurse,1,2,10,58
227,10,CNL,1,2,11,59
227,10,EDOU,2,2,11,59
227,10,FEP,1,2,11,59
227,10,blue,5,2,11,59
227,10,first nurse,1,2,11,59
227,10,green,5,2,11,59
227,10,hallway,0,2,11,59
227,10,iTrack,0,2,11,59
227,10,orange,5,2,11,59
227,10,purple,4,2,11,59
227,10,red,2,2,11,59
227,10,resource nurse,1,2,11,59
227,10,triage nurse,1,2,11,59
228,10,CNL,1,2,12,60
228,10,EDOU,2,2,12,60
228,10,FEP,1,2,12,60
228,10,blue,5,2,12,60
228,10,first nurse,1,2,12,60
228,10,green,5,2,12,60
228,10,hallway,0,2,12,60
228,10,iTrack,0,2,12,60
228,10,orange,5,2,12,60
228,10,purple,4,2,12,60
228,10,red,2,2,12,60
228,10,resource nurse,1,2,12,60
228,10,triage nurse,1,2,12,60
229,10,CNL,1,2,13,61
229,10,EDOU,2,2,13,61
229,10,FEP,1,2,13,61
229,10,blue,5,2,13,61
229,10,first nurse,1,2,13,61
229,10,green,5,2,13,61
229,10,hallway,0,2,13,61
229,10,iTrack,0,2,13,61
229,10,orange,5,2,13,61
229,10,purple,4,2,13,61
229,10,red,2,2,13,61
229,10,resource nurse,1,2,13,61
229,10,triage nurse,1,2,13,61
230,10,CNL,1,2,14,62
230,10,EDOU,2,2,14,62
230,10,FEP,1,2,14,62
230,10,blue,5,2,14,62
230,10,first nurse,1,2,14,62
230,10,green,5,2,14,62
230,10,hallway,5,2,14,62
230,10,iTrack,0,2,14,62
230,10,orange,0,2,14,62
230,10,purple,3,2,14,62
230,10,red,3,2,14,62
230,10,resource nurse,1,2,14,62
230,10,triage nurse,1,2,14,62
231,10,CNL,1,2,15,63
231,10,EDOU,2,2,15,63
231,10,FEP,1,2,15,63
231,10,blue,5,2,15,63
231,10,first nurse,1,2,15,63
231,10,green,5,2,15,63
231,10,hallway,5,2,15,63
231,10,iTrack,0,2,15,63
231,10,orange,0,2,15,63
231,10,purple,3,2,15,63
231,10,red,3,2,15,63
231,10,resource nurse,1,2,15,63
231,10,triage nurse,1,2,15,63
232,10,CNL,1,2,16,64
232,10,EDOU,2,2,16,64
232,10,FEP,1,2,16,64
232,10,blue,5,2,16,64
232,10,first nurse,1,2,16,64
232,10,green,5,2,16,64
232,10,hallway,5,2,16,64
232,10,iTrack,0,2,16,64
232,10,orange,0,2,16,64
232,10,purple,3,2,16,64
232,10,red,3,2,16,64
232,10,resource nurse,1,2,16,64
232,10,triage nurse,1,2,16,64
233,10,CNL,1,2,17,65
233,10,EDOU,2,2,17,65
233,10,FEP,1,2,17,65
233,10,blue,5,2,17,65
233,10,first nurse,1,2,17,65
233,10,green,5,2,17,65
233,10,hallway,5,2,17,65
233,10,iTrack,0,2,17,65
233,10,orange,0,2,17,65
233,10,purple,3,2,17,65
233,10,red,3,2,17,65
233,10,resource nurse,1,2,17,65
233,10,triage nurse,1,2,17,65
234,10,CNL,1,2,18,66
234,10,EDOU,2,2,18,66
234,10,FEP,1,2,18,66
234,10,blue,5,2,18,66
234,10,first nurse,1,2,18,66
234,10,green,5,2,18,66
234,10,hallway,5,2,18,66
234,10,iTrack,0,2,18,66
234,10,orange,0,2,18,66
234,10,purple,3,2,18,66
234,10,red,3,2,18,66
234,10,resource nurse,1,2,18,66
234,10,triage nurse,1,2,18,66
235,10,CNL,1,2,19,67
235,10,EDOU,2,2,19,67
235,10,FEP,1,2,19,67
235,10,blue,5,2,19,67
235,10,first nurse,1,2,19,67
235,10,green,5,2,19,67
235,10,hallway,5,2,19,67
235,10,iTrack,0,2,19,67
235,10,orange,0,2,19,67
235,10,purple,3,2,19,67
235,10,red,3,2,19,67
235,10,resource nurse,1,2,19,67
235,10,triage nurse,1,2,19,67
236,10,CNL,1,2,20,68
236,10,EDOU,2,2,20,68
236,10,FEP,1,2,20,68
236,10,blue,5,2,20,68
236,10,first nurse,1,2,20,68
236,10,green,5,2,20,68
236,10,hallway,5,2,20,68
236,10,iTrack,0,2,20,68
236,10,orange,0,2,20,68
236,10,purple,3,2,20,68
236,10,red,3,2,20,68
236,10,resource nurse,1,2,20,68
236,10,triage nurse,1,2,20,68
237,10,CNL,1,2,21,69
237,10,EDOU,2,2,21,69
237,10,FEP,1,2,21,69
237,10,blue,5,2,21,69
237,10,first nurse,1,2,21,69
237,10,green,5,2,21,69
237,10,hallway,5,2,21,69
237,10,iTrack,0,2,21,69
237,10,orange,0,2,21,69
237,10,purple,3,2,21,69
237,10,red,3,2,21,69
237,10,resource nurse,1,2,21,69
237,10,triage nurse,1,2,21,69
238,10,CNL,1,2,22,70
238,10,EDOU,2,2,22,70
238,10,FEP,1,2,22,70
238,10,blue,5,2,22,70
238,10,first nurse,1,2,22,70
238,10,green,5,2,22,70
238,10,hallway,5,2,22,70
238,10,iTrack,0,2,22,70
238,10,orange,0,2,22,70
238,10,purple,3,2,22,70
238,10,red,3,2,22,70
238,10,resource nurse,1,2,22,70
238,10,triage nurse,1,2,22,70
239,10,CNL,1,2,23,71
239,10,EDOU,2,2,23,71
239,10,FEP,1,2,23,71
239,10,blue,5,2,23,71
239,10,first nurse,1,2,23,71
239,10,green,5,2,23,71
239,10,hallway,5,2,23,71
239,10,iTrack,0,2,23,71
239,10,orange,0,2,23,71
239,10,purple,3,2,23,71
239,10,red,3,2,23,71
239,10,resource nurse,1,2,23,71
239,10,triage nurse,1,2,23,71
240,10,CNL,1,2,24,72
240,10,EDOU,2,2,24,72
240,10,FEP,1,2,24,72
240,10,blue,5,2,24,72
240,10,first nurse,1,2,24,72
240,10,green,5,2,24,72
240,10,hallway,5,2,24,72
240,10,iTrack,0,2,24,72
240,10,orange,0,2,24,72
240,10,purple,3,2,24,72
240,10,red,3,2,24,72
240,10,resource nurse,1,2,24,72
240,10,triage nurse,1,2,24,72
241,10,CNL,1,2,1,73
241,10,EDOU,2,2,1,73
241,10,FEP,1,2,1,73
241,10,blue,5,2,1,73
241,10,first nurse,1,2,1,73
241,10,green,5,2,1,73
241,10,hallway,5,2,1,73
241,10,iTrack,0,2,1,73
241,10,orange,0,2,1,73
241,10,purple,3,2,1,73
241,10,red,3,2,1,73
241,10,resource nurse,1,2,1,73
241,10,triage nurse,1,2,1,73
242,11,CNL,1,2,2,74
242,11,EDOU,2,2,2,74
242,11,FEP,1,2,2,74
242,11,blue,4,2,2,74
242,11,first nurse,1,2,2,74
242,11,green,5,2,2,74
242,11,hallway,3,2,2,74
242,11,iTrack,0,2,2,74
242,11,orange,5,2,2,74
242,11,purple,3,2,2,74
242,11,red,0,2,2,74
242,11,resource nurse,1,2,2,74
242,11,triage nurse,1,2,2,74
243,11,CNL,1,2,3,75
243,11,EDOU,2,2,3,75
243,11,FEP,1,2,3,75
243,11,blue,4,2,3,75
243,11,first nurse,1,2,3,75
243,11,green,5,2,3,75
243,11,hallway,3,2,3,75
243,11,iTrack,0,2,3,75
243,11,orange,5,2,3,75
243,11,purple,3,2,3,75
243,11,red,0,2,3,75
243,11,resource nurse,1,2,3,75
243,11,triage nurse,1,2,3,75
244,11,CNL,1,2,4,76
244,11,EDOU,2,2,4,76
244,11,FEP,1,2,4,76
244,11,blue,4,2,4,76
244,11,first nurse,1,2,4,76
244,11,green,5,2,4,76
244,11,hallway,3,2,4,76
244,11,iTrack,0,2,4,76
244,11,orange,5,2,4,76
244,11,purple,3,2,4,76
244,11,red,0,2,4,76
244,11,resource nurse,1,2,4,76
244,11,triage nurse,1,2,4,76
245,11,CNL,1,2,5,77
245,11,EDOU,2,2,5,77
245,11,FEP,1,2,5,77
245,11,blue,4,2,5,77
245,11,first nurse,1,2,5,77
245,11,green,5,2,5,77
245,11,hallway,3,2,5,77
245,11,iTrack,0,2,5,77
245,11,orange,5,2,5,77
245,11,purple,3,2,5,77
245,11,red,0,2,5,77
245,11,resource nurse,1,2,5,77
245,11,triage nurse,1,2,5,77
246,11,CNL,1,2,6,78
246,11,EDOU,2,2,6,78
246,11,FEP,1,2,6,78
246,11,blue,4,2,6,78
246,11,first nurse,1,2,6,78
246,11,green,5,2,6,78
246,11,hallway,3,2,6,78
246,11,iTrack,0,2,6,78
246,11,orange,5,2,6,78
246,11,purple,3,2,6,78
246,11,red,0,2,6,78
246,11,resource nurse,1,2,6,78
246,11,triage nurse,1,2,6,78
247,11,CNL,1,2,7,79
247,11,EDOU,2,2,7,79
247,11,FEP,1,2,7,79
247,11,blue,4,2,7,79
247,11,first nurse,1,2,7,79
247,11,green,5,2,7,79
247,11,hallway,3,2,7,79
247,11,iTrack,0,2,7,79
247,11,orange,5,2,7,79
247,11,purple,3,2,7,79
247,11,red,0,2,7,79
247,11,resource nurse,1,2,7,79
247,11,triage nurse,1,2,7,79
248,11,CNL,1,2,8,80
248,11,EDOU,2,2,8,80
248,11,FEP,1,2,8,80
248,11,blue,4,2,8,80
248,11,first nurse,1,2,8,80
248,11,green,5,2,8,80
248,11,hallway,3,2,8,80
248,11,iTrack,0,2,8,80
248,11,orange,5,2,8,80
248,11,purple,3,2,8,80
248,11,red,0,2,8,80
248,11,resource nurse,1,2,8,80
248,11,triage nurse,1,2,8,80
249,11,CNL,1,2,9,81
249,11,EDOU,2,2,9,81
249,11,FEP,1,2,9,81
249,11,blue,4,2,9,81
249,11,first nurse,1,2,9,81
249,11,green,5,2,9,81
249,11,hallway,3,2,9,81
249,11,iTrack,0,2,9,81
249,11,orange,5,2,9,81
249,11,purple,3,2,9,81
249,11,red,0,2,9,81
249,11,resource nurse,1,2,9,81
249,11,triage nurse,1,2,9,81
250,11,CNL,1,2,10,82
250,11,EDOU,2,2,10,82
250,11,FEP,1,2,10,82
250,11,blue,4,2,10,82
250,11,first nurse,1,2,10,82
250,11,green,5,2,10,82
250,11,hallway,3,2,10,82
250,11,iTrack,0,2,10,82
250,11,orange,5,2,10,82
250,11,purple,3,2,10,82
250,11,red,0,2,10,82
250,11,resource nurse,1,2,10,82
250,11,triage nurse,1,2,10,82
251,11,CNL,1,2,11,83
251,11,EDOU,2,2,11,83
251,11,FEP,1,2,11,83
251,11,blue,4,2,11,83
251,11,first nurse,1,2,11,83
251,11,green,5,2,11,83
251,11,hallway,3,2,11,83
251,11,iTrack,0,2,11,83
251,11,orange,5,2,11,83
251,11,purple,3,2,11,83
251,11,red,0,2,11,83
251,11,resource nurse,1,2,11,83
251,11,triage nurse,1,2,11,83
252,11,CNL,1,2,12,84
252,11,EDOU,2,2,12,84
252,11,FEP,1,2,12,84
252,11,blue,4,2,12,84
252,11,first nurse,1,2,12,84
252,11,green,5,2,12,84
252,11,hallway,3,2,12,84
252,11,iTrack,0,2,12,84
252,11,orange,5,2,12,84
252,11,purple,3,2,12,84
252,11,red,0,2,12,84
252,11,resource nurse,1,2,12,84
252,11,triage nurse,1,2,12,84
253,11,CNL,1,2,13,85
253,11,EDOU,2,2,13,85
253,11,FEP,1,2,13,85
253,11,blue,4,2,13,85
253,11,first nurse,1,2,13,85
253,11,green,5,2,13,85
253,11,hallway,3,2,13,85
253,11,iTrack,0,2,13,85
253,11,orange,5,2,13,85
253,11,purple,3,2,13,85
253,11,red,0,2,13,85
253,11,resource nurse,1,2,13,85
253,11,triage nurse,1,2,13,85
254,11,CNL,1,2,14,86
254,11,EDOU,2,2,14,86
254,11,FEP,1,2,14,86
254,11,blue,5,2,14,86
254,11,first nurse,1,2,14,86
254,11,green,4,2,14,86
254,11,hallway,5,2,14,86
254,11,iTrack,0,2,14,86
254,11,orange,0,2,14,86
254,11,purple,3,2,14,86
254,11,red,4,2,14,86
254,11,resource nurse,1,2,14,86
254,11,triage nurse,1,2,14,86
