Absolute Hour,Week,Hour (Day),Hour (Week),Floating,Purple,EDOU,Red Pod,Blue Pod,Green Pod,Orange Pod,iTrack,Hallway
533,4,5,29,47,17,7,1,12,9,12,5,8
534,4,6,30,45,14,4,1,5,10,12,8,9
535,4,7,31,52,11,1,3,8,9,9,12,11
536,4,8,32,54,22,3,4,9,8,10,15,8
537,4,9,33,61,16,2,4,13,10,10,9,15
538,4,10,34,67,9,5,3,12,17,13,8,14
539,4,11,35,70,18,5,2,16,11,18,7,16
540,4,12,36,69,19,5,4,19,14,11,9,12
541,4,13,37,71,14,8,4,9,16,15,16,11
542,4,14,38,80,11,4,4,14,12,16,18,16
543,4,15,39,76,18,5,0,17,9,17,14,19
544,4,16,40,76,17,5,1,9,13,17,14,22
545,4,17,41,84,17,5,0,18,15,18,17,16
546,4,18,42,77,9,8,4,11,14,14,16,18
547,4,19,43,76,18,5,1,14,14,15,17,15
548,4,20,44,73,21,4,4,16,14,15,14,10
549,4,21,45,69,11,3,4,13,13,9,18,12
550,4,22,46,65,15,4,4,12,10,13,10,16
551,4,23,47,62,16,3,4,18,12,10,5,13
552,4,24,48,55,16,6,0,12,11,8,5,19
553,4,1,49,54,13,1,4,9,6,16,7,12
554,4,2,50,49,16,2,3,5,11,11,7,12
555,4,3,51,52,19,4,1,9,6,12,10,14
556,4,4,52,49,15,6,1,6,12,9,11,10
557,4,5,53,50,13,7,3,11,15,9,4,8
558,4,6,54,52,14,6,1,8,13,13,10,7
559,4,7,55,57,15,6,4,11,7,8,12,15
560,4,8,56,60,16,6,3,16,12,10,11,8
561,4,9,57,62,15,6,4,12,14,11,17,4
562,4,10,58,64,21,6,4,12,12,9,12,15
563,4,11,59,73,19,8,4,13,13,13,18,12
564,4,12,60,70,10,10,4,20,18,9,11,8
565,4,13,61,74,15,7,4,11,12,21,19,7
566,4,14,62,83,13,5,1,18,17,15,14,18
567,4,15,63,77,15,4,4,16,12,14,17,14
568,4,16,64,82,17,4,3,17,10,21,13,18
569,4,17,65,81,14,2,2,21,14,11,20,13
570,4,18,66,78,16,2,2,11,17,17,18,13
571,4,19,67,74,14,3,3,18,20,11,9,13
572,4,20,68,71,21,1,4,15,15,9,18,10
573,4,21,69,66,13,6,2,14,10,15,12,13
574,4,22,70,61,16,9,2,16,8,11,8,16
575,4,23,71,55,18,9,3,11,9,8,12,12
576,4,24,72,57,17,8,2,16,8,11,11,9
577,4,1,73,57,10,4,4,6,12,11,13,11
578,4,2,74,46,14,6,0,9,8,10,10,9
579,4,3,75,51,17,5,2,9,13,12,5,10
580,4,4,76,50,11,0,3,12,10,6,7,12
581,4,5,77,53,13,3,4,13,7,10,10,9
582,4,6,78,54,16,3,1,13,7,13,12,8
583,4,7,79,56,17,2,4,6,6,11,18,11
584,4,8,80,54,10,3,4,8,13,9,9,11
585,4,9,81,61,12,5,4,12,9,9,15,12
586,4,10,82,64,15,8,2,13,15,15,8,11
587,4,11,83,65,12,6,0,14,14,16,7,14
588,4,12,84,74,21,4,4,18,12,11,17,12
589,4,13,85,73,18,5,2,16,12,15,10,18
590,4,14,86,81,18,4,4,18,21,13,13,12
591,4,15,87,81,14,5,2,14,20,13,14,18
592,4,16,88,76,13,3,4,13,17,14,12,16
593,4,17,89,83,8,6,2,16,17,13,17,18
594,4,18,90,79,16,3,3,15,20,11,20,10
595,4,19,91,76,14,9,4,11,10,20,15,16
596,4,20,92,65,12,2,4,13,7,13,19,9
597,4,21,93,67,16,4,4,9,12,15,13,14
598,4,22,94,62,13,9,4,15,12,12,10,9
599,4,23,95,58,13,4,3,10,6,17,12,10
600,4,24,96,53,14,3,3,8,10,8,12,12
601,4,1,97,50,16,8,1,9,15,9,9,7
602,4,2,98,55,14,3,4,13,5,13,11,9
603,4,3,99,48,11,6,2,7,10,6,13,10
604,4,4,100,42,11,4,4,6,5,8,9,10
605,4,5,101,47,18,4,1,9,13,10,7,7
606,4,6,102,49,16,7,4,11,3,14,10,7
607,4,7,103,52,20,2,2,5,13,6,14,12
608,4,8,104,56,14,5,3,10,13,13,5,12
609,4,9,105,61,15,7,2,8,12,16,9,14
610,4,10,106,63,14,7,0,15,10,14,11,13
611,4,11,107,69,12,4,3,15,13,13,12,13
612,4,12,108,81,10,3,3,14,18,17,17,12
613,4,13,109,73,20,7,2,14,10,20,17,10
614,4,14,110,73,12,4,2,18,20,8,11,14
615,4,15,111,82,11,6,3,19,13,14,14,19
616,4,16,112,79,16,7,2,18,10,14,16,19
617,4,17,113,77,16,2,4,17,11,13,19,13
618,4,18,114,74,19,7,4,15,8,15,16,16
619,4,19,115,79,16,5,4,16,9,19,21,10
620,4,20,116,69,12,6,2,18,10,17,12,10
621,4,21,117,74,10,5,4,17,11,17,11,14
622,4,22,118,69,14,5,4,8,16,14,15,12
623,4,23,119,64,20,8,1,8,12,16,12,15
624,4,24,120,56,7,7,1,10,5,17,11,12
625,4,1,121,62,12,6,4,13,12,13,9,11
626,4,2,122,47,12,3,4,7,7,7,10,12
627,4,3,123,50,14,1,4,10,8,4,11,13
628,4,4,124,46,13,6,0,11,9,12,7,7
629,4,5,125,50,21,6,1,9,5,13,10,12
630,4,6,126,52,14,2,3,5,8,10,13,13
631,4,7,127,56,12,2,2,9,17,9,10,9
632,4,8,128,56,16,2,1,12,15,10,8,10
633,4,9,129,63,14,3,2,8,15,11,16,11
634,4,10,130,64,13,3,4,13,11,13,15,8
635,4,11,131,69,10,5,2,14,11,12,18,12
636,4,12,132,70,15,7,4,9,17,13,13,14
637,4,13,133,78,14,7,4,12,17,14,14,17
638,4,14,134,80,15,4,4,17,7,17,13,22
639,4,15,135,78,22,3,4,18,12,10,19,15
640,4,16,136,80,12,3,1,22,13,14,17,13
641,4,17,137,77,10,4,3,16,11,10,21,16
642,4,18,138,83,11,3,4,16,14,16,16,17
643,4,19,139,82,12,4,4,15,17,12,17,17
644,4,20,140,73,14,6,4,14,13,15,14,13
645,4,21,141,73,17,5,4,13,11,12,18,15
646,4,22,142,66,15,6,4,16,10,10,10,16
647,4,23,143,61,9,4,2,13,16,10,6,14
648,4,24,144,54,16,3,1,6,14,11,12,10
649,4,1,145,55,15,6,4,15,13,10,9,4
650,4,2,146,48,14,0,3,8,12,11,9,5
651,4,3,147,49,17,3,4,7,9,4,11,14
652,4,4,148,51,13,5,1,10,15,6,9,10
653,4,5,149,48,13,9,2,10,9,8,11,8
654,4,6,150,48,11,3,1,9,11,7,9,11
655,4,7,151,52,18,3,0,15,14,4,10,9
656,4,8,152,58,13,3,2,10,15,9,11,11
657,4,9,153,60,15,4,2,10,10,17,10,11
658,4,10,154,67,15,5,1,13,18,13,18,4
659,4,11,155,74,20,6,1,15,11,16,12,19
660,4,12,156,70,16,4,0,4,20,10,17,19
661,4,13,157,79,16,6,3,12,16,15,14,19
662,4,14,158,79,15,7,3,18,12,21,15,10
663,4,15,159,78,16,1,2,18,16,14,14,14
664,4,16,160,78,16,6,2,16,12,17,14,17
665,4,17,161,76,17,5,4,15,19,8,21,9
666,4,18,162,78,20,4,4,18,9,19,12,16
667,4,19,163,71,14,4,3,13,16,19,10,10
668,4,20,164,66,12,8,2,16,16,15,7,10
669,4,21,165,66,16,3,1,13,10,13,15,14
670,4,22,166,65,19,5,4,14,14,6,13,14
671,4,23,167,59,22,5,4,13,15,10,6,11
672,4,24,168,54,10,4,3,8,10,12,12,9
673,5,1,1,52,11,7,3,10,5,16,10,8
674,5,2,2,53,14,8,3,13,10,12,8,7
675,5,3,3,46,13,3,1,7,6,10,9,13
676,5,4,4,49,16,4,2,11,6,9,11,10
677,5,5,5,50,17,2,4,7,9,15,9,6
678,5,6,6,47,15,4,1,10,4,9,14,9
679,5,7,7,56,16,3,3,7,13,16,11,6
680,5,8,8,55,12,3,4,5,10,14,11,11
681,5,9,9,67,10,8,2,8,13,14,16,14
682,5,10,10,63,16,4,1,15,13,12,14,8
683,5,11,11,68,13,4,4,13,11,19,10,11
684,5,12,12,79,20,7,4,12,17,16,19,11
685,5,13,13,78,17,6,2,15,14,21,11,15
686,5,14,14,78,16,3,4,11,11,22,19,11
687,5,15,15,72,13,4,1,10,12,16,17,16
688,5,16,16,84,17,6,1,12,16,18,16,21
689,5,17,17,76,14,4,3,14,13,12,19,15
690,5,18,18,79,15,1,4,13,17,14,19,12
691,5,19,19,75,8,2,4,21,9,13,18,10
692,5,20,20,73,16,5,4,17,18,11,12,11
693,5,21,21,68,19,7,1,21,17,13,13,3
694,5,22,22,63,15,3,1,13,13,8,13,15
695,5,23,23,59,15,9,3,13,11,4,10,18
696,5,24,24,56,18,6,4,10,13,9,11,9
697,5,1,25,51,17,3,0,6,10,5,13,17
698,5,2,26,50,14,8,1,7,9,12,12,9
699,5,3,27,52,17,8,1,10,9,12,9,11
700,5,4,28,44,14,4,0,13,5,10,8,8
701,5,5,29,53,17,8,4,19,14,7,4,5
702,5,6,30,53,18,6,1,17,11,7,8,9
703,5,7,31,62,13,5,1,12,12,11,14,12
704,5,8,32,59,13,3,1,8,15,12,13,10
705,5,9,33,61,16,8,1,9,15,9,12,15
706,5,10,34,66,15,7,1,13,22,5,16,9
707,5,11,35,63,18,7,2,9,19,12,12,9
708,5,12,36,74,11,5,4,16,11,13,12,18
709,5,13,37,73,8,3,1,17,13,15,11,16
710,5,14,38,83,17,7,4,19,13,17,12,18
711,5,15,39,79,6,5,3,17,12,11,15,21
712,5,16,40,81,15,5,3,12,15,16,17,18
713,5,17,41,76,12,4,4,13,15,13,12,19
714,5,18,42,77,12,9,2,18,16,17,8,16
715,5,19,43,75,17,6,4,12,26,13,11,9
716,5,20,44,74,14,5,4,19,11,10,9,21
717,5,21,45,72,12,3,4,18,17,6,14,13
718,5,22,46,63,13,5,3,15,15,15,8,7
719,5,23,47,56,16,5,3,14,7,11,10,11
720,5,24,48,52,9,4,1,12,8,8,11,12
721,5,1,49,56,18,4,1,9,12,15,9,10
722,5,2,50,53,20,4,4,12,11,8,13,5
723,5,3,51,50,17,7,2,10,8,10,6,14
724,5,4,52,49,16,8,4,9,5,13,13,5
725,5,5,53,50,19,9,1,9,7,9,12,12
726,5,6,54,51,15,3,3,11,10,11,10,6
727,5,7,55,57,15,7,2,10,9,10,8,18
728,5,8,56,57,21,6,4,8,15,10,10,10
729,5,9,57,58,16,3,3,13,8,17,8,9
730,5,10,58,63,17,7,3,13,11,13,13,10
731,5,11,59,63,14,9,0,11,12,17,12,11
732,5,12,60,75,18,8,4,16,10,19,7,19
733,5,13,61,73,16,5,2,14,13,17,15,12
734,5,14,62,77,18,4,3,10,13,17,21,13
735,5,15,63,76,14,6,0,15,14,6,20,21
736,5,16,64,78,15,2,4,10,27,19,9,9
737,5,17,65,82,17,6,4,16,13,18,13,18
738,5,18,66,78,14,4,4,15,14,13,16,16
739,5,19,67,76,22,3,3,11,17,18,14,13
740,5,20,68,76,15,4,4,11,18,12,18,13
741,5,21,69,70,16,4,3,9,14,12,17,15
742,5,22,70,63,18,0,2,10,14,10,18,9
743,5,23,71,62,10,7,3,18,6,12,16,7
744,5,24,72,53,12,5,3,13,8,6,7,16
745,5,1,73,56,18,5,4,13,8,8,14,9
746,5,2,74,52,13,7,2,11,9,13,12,5
747,5,3,75,51,10,7,2,10,8,11,7,13
748,5,4,76,50,16,8,0,8,14,11,7,10
749,5,5,77,49,19,7,1,12,12,10,7,7
750,5,6,78,47,17,4,3,8,6,13,10,7
751,5,7,79,58,12,8,2,9,11,10,10,16
752,5,8,80,55,16,4,2,15,11,9,12,6
753,5,9,81,58,16,3,4,10,17,14,4,9
754,5,10,82,65,17,2,4,10,11,12,17,11
755,5,11,83,69,11,2,4,16,12,12,15,10
756,5,12,84,71,16,4,2,12,18,9,15,15
757,5,13,85,74,17,3,4,17,15,12,10,16
758,5,14,86,80,12,4,3,13,21,12,19,12
759,5,15,87,84,15,4,1,14,19,17,14,19
760,5,16,88,80,12,4,1,7,15,16,22,19
761,5,17,89,79,20,6,4,16,14,15,15,15
762,5,18,90,81,13,6,3,15,22,17,11,13
763,5,19,91,74,18,4,4,12,16,15,11,16
764,5,20,92,68,20,5,1,11,15,22,12,7
765,5,21,93,65,20,7,4,13,11,9,10,18
766,5,22,94,63,15,4,3,12,12,12,14,10
767,5,23,95,59,15,6,4,15,11,10,9,10
768,5,24,96,51,14,7,3,6,10,12,11,9
769,5,1,97,54,13,11,4,8,10,10,10,12
770,5,2,98,52,18,7,3,10,7,11,12,9
771,5,3,99,46,16,6,0,13,9,12,10,2
772,5,4,100,49,15,2,1,12,4,13,9,10
773,5,5,101,58,17,5,0,14,9,10,11,14
774,5,6,102,50,17,5,0,8,15,10,10,7
775,5,7,103,49,14,6,4,10,11,7,9,8
776,5,8,104,54,19,4,2,12,9,7,18,6
777,5,9,105,58,18,4,4,10,9,11,13,11
778,5,10,106,62,17,5,3,11,12,14,14,8
779,5,11,107,66,16,5,3,15,9,13,15,11
780,5,12,108,72,16,6,2,13,20,17,10,10
781,5,13,109,72,16,4,4,17,16,11,15,9
782,5,14,110,79,15,4,4,12,15,8,13,27
783,5,15,111,79,16,6,4,14,14,24,11,12
784,5,16,112,80,10,5,4,10,16,16,19,15
785,5,17,113,74,12,6,2,14,15,15,12,16
786,5,18,114,81,14,4,3,16,12,17,18,15
787,5,19,115,81,16,6,2,11,19,12,21,16
788,5,20,116,72,13,5,3,9,12,16,19,13
789,5,21,117,68,14,7,4,19,10,11,11,13
790,5,22,118,64,12,5,1,19,10,12,13,9
791,5,23,119,65,11,4,3,8,16,14,11,13
792,5,24,120,51,18,6,1,12,13,8,10,7
793,5,1,121,58,16,2,1,10,13,5,14,15
794,5,2,122,48,20,7,2,9,14,6,7,10
795,5,3,123,55,16,5,3,7,14,8,13,10
796,5,4,124,50,16,6,3,8,6,6,17,10
797,5,5,125,50,14,10,4,10,5,9,9,13
798,5,6,126,48,10,6,2,9,9,9,10,9
799,5,7,127,47,18,6,2,13,9,6,6,11
800,5,8,128,51,15,4,4,8,12,11,6,10
801,5,9,129,58,16,6,0,9,14,15,9,11
802,5,10,130,68,16,7,4,14,7,17,12,14
803,5,11,131,66,9,7,2,11,14,8,12,19
804,5,12,132,66,17,4,4,8,20,12,12,10
805,5,13,133,74,17,3,2,11,18,13,13,17
806,5,14,134,76,14,2,1,17,9,12,16,21
807,5,15,135,79,10,8,4,17,9,17,14,18
808,5,16,136,77,19,5,3,17,10,15,22,10
809,5,17,137,76,11,5,4,22,13,13,10,14
810,5,18,138,76,19,4,2,7,14,17,21,15
811,5,19,139,73,8,7,4,12,12,16,13,16
812,5,20,140,76,19,8,4,15,20,17,8,12
813,5,21,141,69,16,5,4,9,19,10,14,13
814,5,22,142,66,16,5,3,14,12,12,12,13
815,5,23,143,58,19,2,4,14,13,9,13,5
816,5,24,144,56,12,6,2,11,12,10,11,10
817,5,1,145,50,13,8,0,12,9,10,6,13
818,5,2,146,52,16,4,3,4,12,19,6,8
819,5,3,147,47,14,6,3,9,6,8,12,9
820,5,4,148,48,15,3,2,12,5,9,11,9
821,5,5,149,47,14,2,2,6,12,7,8,12
822,5,6,150,52,17,8,3,9,11,9,10,10
823,5,7,151,56,9,3,3,5,12,14,10,12
824,5,8,152,56,9,2,4,12,4,10,10,16
825,5,9,153,63,14,4,1,14,13,13,8,14
826,5,10,154,65,18,6,4,11,13,14,8,15
827,5,11,155,70,12,2,4,14,12,11,18,11
828,5,12,156,74,15,3,4,18,7,15,17,13
829,5,13,157,75,14,4,0,19,13,15,16,12
830,5,14,158,77,19,4,3,14,19,11,16,14
831,5,15,159,74,13,6,4,9,16,13,17,15
832,5,16,160,77,18,2,1,16,13,17,20,10
833,5,17,161,79,12,3,4,16,9,16,16,18
834,5,18,162,84,12,3,4,19,19,13,12,17
835,5,19,163,77,18,9,3,19,14,12,12,17
836,5,20,164,70,13,5,0,15,15,14,14,12
837,5,21,165,70,18,1,1,16,15,10,14,14
838,5,22,166,69,13,2,0,22,8,12,9,18
839,5,23,167,58,17,2,3,15,11,9,11,9
840,5,24,168,59,19,5,3,9,12,11,15,9
841,6,1,1,55,14,4,3,15,9,9,9,10
842,6,2,2,49,7,7,4,8,7,12,10,8
843,6,3,3,48,9,2,1,4,5,9,15,14
844,6,4,4,45,19,4,0,5,7,14,12,7
845,6,5,5,51,15,7,4,9,13,8,10,7
846,6,6,6,54,18,8,3,11,9,12,9,10
847,6,7,7,52,11,5,2,11,7,10,9,13
848,6,8,8,59,17,10,1,10,9,12,10,17
849,6,9,9,61,18,7,3,13,13,10,10,12
850,6,10,10,64,13,6,4,8,16,15,12,9
851,6,11,11,67,14,0,2,9,14,15,13,14
852,6,12,12,71,14,6,4,16,10,9,14,18
853,6,13,13,74,13,5,3,14,11,18,12,16
854,6,14,14,79,16,5,3,13,15,14,17,17
855,6,15,15,81,12,6,4,19,11,21,16,10
856,6,16,16,80,20,5,3,16,18,11,20,12
857,6,17,17,83,14,4,4,15,9,19,19,17
858,6,18,18,75,18,6,2,14,13,9,14,23
859,6,19,19,76,12,5,2,10,14,17,17,16
860,6,20,20,70,14,6,2,11,12,16,12,17
861,6,21,21,70,11,2,4,14,17,13,11,11
862,6,22,22,67,15,7,4,16,7,10,12,18
863,6,23,23,56,13,4,2,9,11,12,12,10
864,6,24,24,59,12,7,1,14,10,12,13,9
865,6,1,25,57,12,6,1,9,13,15,11,8
866,6,2,26,52,15,5,4,9,6,14,7,12
867,6,3,27,43,14,6,2,7,13,6,5,10
868,6,4,28,55,15,5,4,8,12,14,7,10
869,6,5,29,47,9,4,3,7,6,13,7,11
870,6,6,30,51,19,5,3,11,12,9,5,11
871,6,7,31,59,17,5,4,6,12,11,11,15
872,6,8,32,55,12,6,4,6,10,19,10,6
873,6,9,33,60,18,3,4,16,16,4,6,14
874,6,10,34,68,23,4,2,18,6,14,16,12
875,6,11,35,69,16,6,3,9,15,19,9,14
876,6,12,36,74,16,3,0,15,14,19,10,16
877,6,13,37,75,13,5,4,13,19,14,17,8
878,6,14,38,77,17,6,4,15,24,15,11,8
879,6,15,39,81,13,6,2,16,16,12,16,19
880,6,16,40,75,12,7,3,12,17,12,15,16
881,6,17,41,76,16,8,3,15,12,17,17,12
882,6,18,42,76,14,5,1,14,17,14,18,12
883,6,19,43,72,7,3,4,16,7,15,11,19
884,6,20,44,76,14,1,4,18,11,14,13,16
885,6,21,45,67,9,4,4,10,16,6,16,15
886,6,22,46,64,13,7,1,11,14,14,11,13
887,6,23,47,57,14,4,2,9,20,9,9,8
888,6,24,48,58,17,2,1,11,9,12,11,14
889,6,1,49,52,10,4,4,10,5,12,6,15
890,6,2,50,49,14,4,0,11,12,7,6,13
891,6,3,51,48,18,7,4,11,10,3,11,9
892,6,4,52,47,11,4,3,12,6,10,12,4
893,6,5,53,46,14,8,2,9,5,10,15,5
894,6,6,54,51,20,3,3,9,9,8,12,10
895,6,7,55,55,11,5,3,7,8,13,11,13
896,6,8,56,60,19,5,4,12,10,13,12,9
897,6,9,57,55,10,3,3,7,10,13,9,13
898,6,10,58,63,16,5,2,12,11,14,14,10
899,6,11,59,75,16,4,1,7,20,15,16,16
900,6,12,60,73,8,4,4,14,11,14,15,15
901,6,13,61,72,11,5,4,11,12,16,13,16
902,6,14,62,78,13,7,4,16,10,15,14,19
903,6,15,63,77,15,6,4,19,10,13,15,16
904,6,16,64,82,17,5,4,17,14,17,14,16
905,6,17,65,81,12,4,4,15,12,17,16,17
906,6,18,66,77,12,6,4,13,20,12,12,16
907,6,19,67,78,20,4,2,18,19,10,18,11
908,6,20,68,74,12,7,4,12,13,14,13,18
909,6,21,69,71,16,5,4,8,15,15,18,11
910,6,22,70,66,15,2,1,14,14,8,15,14
911,6,23,71,61,13,6,2,19,12,6,9,13
912,6,24,72,55,15,2,0,11,11,9,11,13
913,6,1,73,60,17,9,4,16,7,13,9,11
914,6,2,74,52,18,7,1,9,3,10,8,21
915,6,3,75,48,17,6,2,8,11,13,7,7
916,6,4,76,47,13,3,2,12,4,9,10,10
917,6,5,77,56,8,8,2,12,12,12,11,7
918,6,6,78,54,10,5,2,11,13,7,7,14
919,6,7,79,49,17,3,1,12,14,8,6,8
920,6,8,80,59,11,2,4,10,8,13,12,12
921,6,9,81,59,18,8,2,14,8,9,16,10
922,6,10,82,64,14,6,3,13,12,11,12,13
923,6,11,83,66,19,4,4,19,8,12,14,9
924,6,12,84,74,16,7,1,16,16,12,16,13
925,6,13,85,81,19,5,4,20,20,14,15,8
926,6,14,86,73,17,2,4,16,17,14,14,8
927,6,15,87,77,15,7,2,14,15,15,22,9
928,6,16,88,77,12,6,4,14,18,11,15,15
929,6,17,89,77,18,1,3,13,20,18,13,10
930,6,18,90,74,15,5,1,17,11,14,16,15
931,6,19,91,73,14,5,3,17,6,14,16,17
932,6,20,92,71,17,6,3,18,12,13,12,13
933,6,21,93,72,8,6,1,21,11,13,12,14
934,6,22,94,58,19,2,4,16,12,8,12,6
935,6,23,95,60,17,5,4,16,11,13,8,8
936,6,24,96,59,13,4,3,5,16,10,16,9
937,6,1,97,51,13,4,2,9,6,10,13,11
938,6,2,98,55,16,6,3,9,8,13,10,12
939,6,3,99,53,16,5,3,8,11,12,5,14
940,6,4,100,50,14,5,3,12,8,8,6,13
941,6,5,101,55,15,3,2,8,9,10,13,13
942,6,6,102,53,16,8,4,8,12,6,13,10
943,6,7,103,57,15,3,4,12,8,8,13,12
944,6,8,104,52,15,6,2,7,12,10,6,15
945,6,9,105,62,16,3,3,11,8,18,12,10
946,6,10,106,62,19,5,0,14,10,10,13,15
947,6,11,107,64,19,4,4,9,13,12,17,9
948,6,12,108,71,10,4,4,10,16,12,16,13
949,6,13,109,77,9,7,1,15,15,18,15,13
950,6,14,110,76,18,7,4,11,14,21,11,15
951,6,15,111,81,22,4,4,7,13,13,24,20
952,6,16,112,84,12,5,3,20,17,13,14,17
953,6,17,113,78,14,4,4,12,13,19,16,14
954,6,18,114,77,14,5,4,17,17,9,14,16
955,6,19,115,76,16,3,2,16,20,14,15,9
956,6,20,116,72,18,4,4,20,14,10,12,12
957,6,21,117,72,13,6,4,12,14,13,14,15
958,6,22,118,57,17,4,4,8,15,14,8,8
959,6,23,119,62,13,4,4,11,12,13,11,11
960,6,24,120,55,19,6,3,5,11,10,12,14
961,6,1,121,51,15,3,4,10,7,12,11,7
962,6,2,122,58,15,7,1,11,12,16,8,10
963,6,3,123,50,17,3,3,7,8,11,12,9
964,6,4,124,48,15,8,2,12,5,11,9,9
965,6,5,125,55,18,7,4,13,14,8,6,10
966,6,6,126,52,15,5,3,12,7,10,12,8
967,6,7,127,52,17,7,1,9,9,6,17,10
968,6,8,128,58,20,3,2,11,10,15,9,11
969,6,9,129,61,16,6,2,9,13,11,12,14
970,6,10,130,61,18,6,2,10,11,11,10,17
971,6,11,131,66,17,5,3,9,7,21,10,16
972,6,12,132,70,4,5,0,18,16,8,10,18
973,6,13,133,74,17,3,4,16,9,23,9,13
974,6,14,134,79,14,2,1,16,15,13,21,13
975,6,15,135,77,16,7,2,17,19,14,8,17
976,6,16,136,77,7,2,4,13,17,16,15,12
977,6,17,137,81,14,4,3,15,22,12,13,16
978,6,18,138,78,25,3,4,21,16,14,14,9
979,6,19,139,71,18,6,4,15,15,12,11,14
980,6,20,140,70,17,3,4,7,14,12,18,15
981,6,21,141,69,12,3,4,18,13,16,7,11
982,6,22,142,70,14,6,1,15,12,12,16,14
983,6,23,143,60,12,4,2,17,5,16,11,9
984,6,24,144,57,19,8,0,11,14,15,8,9
985,6,1,145,53,15,4,4,6,7,11,15,10
986,6,2,146,51,11,7,2,10,13,13,7,6
987,6,3,147,44,23,2,2,5,10,15,8,4
988,6,4,148,53,15,4,0,9,11,13,10,10
989,6,5,149,51,13,5,3,10,6,13,6,13
990,6,6,150,54,17,4,3,8,10,8,12,13
991,6,7,151,49,14,8,0,12,13,6,8,10
992,6,8,152,54,12,5,4,5,13,11,10,11
993,6,9,153,61,15,3,3,16,10,5,12,15
994,6,10,154,63,17,5,4,9,11,12,13,14
995,6,11,155,67,20,3,3,11,9,16,6,22
996,6,12,156,78,10,6,3,19,13,14,10,19
997,6,13,157,73,16,2,4,14,10,16,16,13
998,6,14,158,78,15,5,3,15,16,14,17,13
999,6,15,159,79,14,4,4,17,13,15,14,16
1000,6,16,160,75,4,5,2,17,15,15,9,17
1001,6,17,161,79,14,5,4,14,14,11,23,13
1002,6,18,162,83,14,9,1,15,15,19,18,15
1003,6,19,163,74,22,2,1,21,9,18,16,9
1004,6,20,164,75,18,6,3,19,14,11,12,16
1005,6,21,165,68,14,5,4,18,17,6,13,10
1006,6,22,166,65,17,5,0,16,10,10,15,14
1007,6,23,167,59,17,7,4,9,17,13,5,11
1008,6,24,168,58,10,6,3,9,15,9,11,11
